"$25 Million Dollar Hoax" 	32.7174209 -117.1627714
"2004 World Series" 	33.3024309 44.3787992
"2004 World Series" 	42.3602534 -71.0582912
"2004 World Series" 	38.6268039 -90.1994097
"2004 World Series" 	42.3602534 -71.0582912
"2004 World Series" 	40.7127281 -74.0060152
"2004 World Series" 	38.6268039 -90.1994097
"24 oras" 	12.7503486 122.7312101
"24 saat" 	41.0766019 29.052495
"24Inside" 	34.1816482 -118.3258554
"29 Minutes & Counting" 	34.8641446 -118.1634075
"3. t�r" 	41.0766019 29.052495
"3.2 Percent" 	39.4225192 -111.7143584
"30 segundos" 	-34.9964963 -64.9672817
"3R 	12.7503486 122.7312101
"55 Degrees North" 	54.9738474 -1.6131572
"5ive Days to Midnight" 	49.2608724 -123.1139529
"60 Minute Makeover" 	51.6677802 -0.2426863
"60 Minute Makeover" 	53.4953602 -2.973937960086006
"60 Minute Makeover" 	51.2819693 -0.0771032
"60 Minute Makeover" 	51.392296 -0.5038294
"60 Minute Makeover" 	53.2141028 -2.471770086071205
"60 Minute Makeover" 	53.1631463 -2.2110691
"60 Minute Makeover" 	51.0590028 0.1635863
"60 Minute Makeover" 	54.5242081 -1.5555812
"60 Minute Makeover" 	51.0 -0.416667
"60 Minute Makeover" 	50.9404529 0.3699899035008595
"60 Minute Makeover" 	51.21023055 -0.7981514987271019
"60 Minute Makeover" 	51.5973246 -0.1805587
"60 Minute Makeover" 	51.8333313 -2.1666674
"60 Minute Makeover" 	54.6016237 -2.7099322
"60 Minute Makeover" 	53.7229229 -1.8604874
"60 Minute Makeover" 	51.4920377 -0.2236401
"60 Minute Makeover" 	54.091592750000004 -1.535911258050148
"60 Minute Makeover" 	51.627422 -0.7484153
"60 Minute Makeover" 	51.5323935 -0.086078
"60 Minute Makeover" 	51.840052299999996 -0.09785519224523963
"60 Minute Makeover" 	53.7974185 -1.5437941
"60 Minute Makeover" 	52.6361398 -1.1330789
"60 Minute Makeover" 	52.0429797 -0.7589607
"60 Minute Makeover" 	53.1185033 -1.5566179305872212
"60 Minute Makeover" 	52.2381355 -0.8963907
"60 Minute Makeover" 	52.9534193 -1.1496461
"60 Minute Makeover" 	53.7593363 -2.6992717
"60 Minute Makeover" 	53.50652485 -2.3374401422576687
"60 Minute Makeover" 	51.8959542 0.9170016
"60 Minute Makeover" 	53.4877463 -2.2891921
"60 Minute Makeover" 	51.075913799999995 -1.5196262241315694
"60 Minute Makeover" 	53.4953602 -2.973937960086006
"60 Minute Makeover" 	53.364136 -2.0711439
"60 Minute Makeover" 	51.5613683 -1.7856853
"60 Minute Makeover" 	51.4269433 -0.0545387
"60 Minute Makeover" 	52.32130635 -1.5467857874161073
"60 Minute Makeover" 	51.3471927 -2.9778916
"60 Minute Makeover" 	51.7152208 0.5226443
"969" 	51.0534234 -114.0625892
"969" 	49.2608724 -123.1139529
"A Brush with the Mersey" 	53.4953602 -2.973937960086006
"A Ferreirinha" 	41.1494512 -8.6107884
"A Place by the Sea" 	51.4538022 -2.5972985
"A Place by the Sea" 	56.4605938 -2.97019
"A Place by the Sea" 	54.091592750000004 -1.535911258050148
"A Place by the Sea" 	50.7361334 -2.9317343744389417
"A Place by the Sea" 	56.711484 -2.4681517
"A Place by the Sea" 	54.091592750000004 -1.535911258050148
"A Place by the Sea" 	50.6790033 -3.237657
"A Place by the Sea" 	56.9640234 -2.2087993
"A Place by the Sea" 	54.4874141 -0.6155111
"A Place in Greece" 	35.3084749 24.463320724202934
"A Thing Called Love" 	52.9479602 -1.209770975032371
"A Wealth of Wisdom" 	40.7127281 -74.0060152
"A Wife for William" 	51.661479850000006 0.39050341383883114
"A las regaderas" 	19.4326296 -99.1331785
"A mi�a sogra e m�is eu" 	39.3262345 -4.8380649
"A.M." 	19.4326296 -99.1331785
"ABC/TTV Micro-Mini Series" 	34.093214 -118.3196124
"ALF\'s Hit Talk Show" 	34.0536909 -118.2427666
"AOL: Music-On-Demand" 	34.0536909 -118.2427666
"APBA Offshore Nationals" 	41.7988074 -69.9960134711573
"APBA Offshore Nationals" 	41.5051613 -81.6934446
"APBA Offshore Nationals" 	27.7477253 -97.4014129
"APBA Offshore Nationals" 	27.7567667 -81.4639835
"APBA Offshore Nationals" 	24.7137524 -81.0903512
"Aavishkaar: Ek Rakshak" 	18.9387711 72.8353355
"Abroad Again in Britain" 	50.9404529 0.3699899035008595
"Abroad Again in Britain" 	55.313604299999994 -1.8856735829119962
"Abroad Again in Britain" 	55.94868985 -3.200410205428727
"Abroad Again in Britain" 	50.8149725 -1.1545922
"Abroad Again in Britain" 	51.083333 -1.166667
"Abroad Again in Britain" 	51.083333 -1.166667
"Abroad Again in Britain" 	50.8036831 -1.075614
"Abroad Again in Britain" 	51.25 -1.916667
"Acapulco fest 2004" 	16.8680495 -99.8940182
"Achar!" 	1.357107 103.8194992
"Act!one" 	60.1674098 24.9425769
"Act!one" 	63.2467777 25.9209164
"Act!one" 	61.4980214 23.7603118
"Action Figures" 	33.6783336 -118.0000166
"Action Figures" 	33.5426975 -117.7853665
"Action Figures" 	33.4669721 -117.6981075
"Adhikaar" 	23.2530923 77.3962718
"Adi ask olsun" 	41.0766019 29.052495
"Advokat" 	64.6863136 97.7453061
"Advokat" 	55.4792046 37.3273304
"Afrikas �je" 	-28.8166236 24.991639
"After 	35.9131542 -79.05578
"After 	36.0959715 -79.2669619
"Aga kizi" 	38.9597594 34.9249653
"Agatha Christie\'s Marple" 	50.7685761 0.2957854
"Agatha Christie\'s Marple" 	51.5073219 -0.1276474
"Agatha Christie\'s Marple" 	51.32660235 -1.3605163180511601
"Agatha Christie\'s Marple" 	51.8670421 -0.187051
"Agatha Christie\'s Marple" 	51.2144587 -0.581872
"Agatha Christie\'s Marple" 	52.666667 -1.0
"Agatha Christie\'s Marple" 	-33.928992 18.417396
"Agatha Christie\'s Marple" 	51.64361155 -1.164193979577883
"Agatha Christie\'s Marple" 	51.2715316 -0.3414523511290909
"Agatha Christie\'s Marple" 	57.5066357 -5.0038367
"Agatha Christie\'s Marple" 	51.453488899999996 -1.0318729593399247
"Agatha Christie\'s Marple" 	51.5073219 -0.1276474
"Agatha Christie\'s Marple" 	51.644135649999996 -0.8054521180200145
"Agatha Christie\'s Marple" 	51.35834165 -0.3702710017888756
"Agatha Christie\'s Marple" 	54.7023545 -3.2765753
"Agatha Christie\'s Marple" 	51.2715316 -0.3414523511290909
"Agatha Christie\'s Marple" 	51.2144587 -0.581872
"Agatha Christie\'s Marple" 	50.6790033 -3.237657
"Agatha Christie\'s Marple" 	51.833333 -1.25
"Agatha Christie\'s Marple" 	51.35002955 -0.3884656301605302
"Agatha Christie\'s Marple" 	51.7605139 -0.20879851305478084
"Agatha Christie\'s Marple" 	51.8670421 -0.187051
"Agatha Christie\'s Marple" 	51.5073219 -0.1276474
"Agatha Christie\'s Marple" 	51.75 -0.75
"Agatha Christie\'s Marple" 	50.6790033 -3.237657
"Agatha Christie\'s Marple" 	51.840052299999996 -0.09785519224523963
"Agatha Christie\'s Marple" 	51.76407745 -0.22583838420793756
"Agatha Christie\'s Marple" 	51.502580449999996 -0.6684001569528171
"Agatha Christie\'s Marple" 	50.9404529 0.3699899035008595
"Agatha Christie\'s Marple" 	34.093214 -118.3196124
"Agatha Christie\'s Marple" 	51.2474823 0.7105077
"Agatha Christie\'s Marple" 	51.2474823 0.7105077
"Agatha Christie\'s Marple" 	51.2447805 0.9645024
"Agatha Christie\'s Marple" 	54.7023545 -3.2765753
"Agatha Christie\'s Marple" 	51.75 -0.75
"Agatha Christie\'s Marple" 	51.8670421 -0.187051
"Agatha Christie\'s Marple" 	51.502580449999996 -0.6684001569528171
"Agatha Christie\'s Marple" 	51.833333 -1.25
"Agatha Christie\'s Marple" 	50.2388158 -3.7726121
"Agatha Christie\'s Marple" 	51.2144587 -0.581872
"Ah be Istanbul" 	41.0766019 29.052495
"Ahava Ze Koev" 	31.7977314 34.6529922
"Ahava Ze Koev" 	32.0804808 34.7805274
"Ahora toca" 	29.0948207 -110.9692202
"Airline" 	39.284749399999995 -76.62047463969989
"Airline" 	39.17452575 -76.67104838454202
"Airline" 	41.8755616 -87.6244212
"Airline" 	34.0536909 -118.2427666
"Airline" 	29.7589382 -95.3676974
"Al otro lado del espejo" 	19.4326296 -99.1331785
"Alain Nu Project" 	29.9499323 -90.0701156
"Alguna pregunta m�s?" 	41.3828939 2.1774322
"Algunes imatges m�s" 	41.8523094 1.5745043
"Aliye" 	41.6759327 26.5587225
"Aliye" 	38.9597594 34.9249653
"Amanti e segreti" 	44.8372737 11.6186451
"Amarte es mi pecado" 	19.4326296 -99.1331785
"Amarte es mi pecado" 	19.4326296 -99.1331785
"Amarte es mi pecado" 	19.4326296 -99.1331785
"Amarte es mi pecado" 	19.4326296 -99.1331785
"America or Busted" 	52.7954791 -0.5402402866174321
"America or Busted" 	40.7127281 -74.0060152
"American Candidate" 	40.7127281 -74.0060152
"American Casino" 	36.0301134 -114.9826194
"American Dreams" 	40.7127281 -74.0060152
"American Dreams" 	40.7127281 -74.0060152
"American Dreams" 	40.7127281 -74.0060152
"Amish in the City" 	34.0536909 -118.2427666
"Amnesia" 	50.6710482 -1.3327111133199459
"Amnesia" 	51.5073219 -0.1276474
"Amnesia" 	54.7023545 -3.2765753
"Amnesia" 	54.7023545 -3.2765753
"Amo en el D.F." 	19.4326296 -99.1331785
"Amor del bueno" 	10.506098 -66.9146017
"Amores" 	18.22141715 -66.4132818505648
"Amores" 	18.465299 -66.116666
"Am	19.4326296 -99.1331785
"Am	19.4326296 -99.1331785
"Ana" 	25.0657 55.1713
"Animal Icons" 	34.0536909 -118.2427666
"Animal Icons" 	40.7127281 -74.0060152
