"#ByMySide" 	42.6384261 12.674297
"A Brilliant Road Trip" 	-42.2000008 148.3000031
"A Brilliant Road Trip" 	-37.8638261 144.981637
"A Brilliant Road Trip" 	-37.3875384 144.5757825
"A Brilliant Road Trip" 	-33.70988 150.3764087
"A Brilliant Road Trip" 	-31.965 141.4511111
"A Brilliant Road Trip" 	-31.4981502 145.8425707
"A Brilliant Road Trip" 	-33.4166378 149.5804943
"A Brilliant Road Trip" 	-42.1681068 148.3050059
"A Brilliant Road Trip" 	-41.1797561 146.3613011
"A Brilliant Road Trip" 	-41.3870316 146.1748539
"A Brilliant Road Trip" 	-41.6846445 145.9513044
"A Brilliant Road Trip" 	-41.1797561 146.3613011
"A Moody Christmas" 	-33.8536692 151.2133527
"A Mother\'s Son" 	52.7954791 -0.5402402866174321
"A Mother\'s Son" 	51.840052299999996 -0.09785519224523963
"A Mother\'s Son" 	52.3266586 1.6794539
"A Mother\'s Son" 	52.7954791 -0.5402402866174321
"A Mother\'s Son" 	51.7150748 -0.4618604807446304
"A Mother\'s Son" 	52.241001350000005 1.0466830312565236
"A Mother\'s Son" 	52.7954791 -0.5402402866174321
"A Problem Shared" 	52.5170365 13.3888599
"A Taste of Travel" 	51.0 10.0
"A Taste of Travel" 	-24.7761086 134.755
"A Time of Thorns: Zaman El Shok" 	33.8959203 35.47843
"A Time of Thorns: Zaman El Shok" 	33.8750629 35.843409
"A Time of Thorns: Zaman El Shok" 	33.8148106 35.5339533
"A Todo Mecate con Alex y Pekas" 	33.7500378 -117.8704931
"A Touch of Cloth" 	51.546055800000005 -0.2537791389340719
"A Young Doctor\'s Notebook & Other Stories" 	51.546055800000005 -0.2537791389340719
"A Young Doctor\'s Notebook & Other Stories" 	51.5073219 -0.1276474
"A spas per la Ladinia" 	46.4296605 11.6856511
"ABBA: Dancing Queen" 	59.6749712 14.5208584
"ABBA: Dancing Queen" 	-24.7761086 134.755
"ACE Insider" 	49.2608724 -123.1139529
"AFF Suzuki Cup" 	4.5693754 102.2656823
"AFF Suzuki Cup" 	14.8971921 100.83273
"AFF Suzuki Cup" 	1.3099506 103.86034576871684
"AFF Suzuki Cup" 	13.7554051 100.6221776
"AFF Suzuki Cup" 	14.8971921 100.83273
"AFF Suzuki Cup" 	13.7554051 100.6221776
"AFF Suzuki Cup" 	13.7554051 100.6221776
"AFF Suzuki Cup" 	13.7554051 100.6221776
"AFF Suzuki Cup" 	13.7554051 100.6221776
"AFF Suzuki Cup" 	3.0546755 101.69136903264581
"AFF Suzuki Cup" 	3.0546755 101.69136903264581
"AFF Suzuki Cup" 	3.0546755 101.69136903264581
"AFF Suzuki Cup" 	3.0546755 101.69136903264581
"AFF Suzuki Cup" 	3.0546755 101.69136903264581
"AFF Suzuki Cup" 	3.08215855 101.54402604496669
"AFF Suzuki Cup" 	3.0546755 101.69136903264581
"AFF Suzuki Cup" 	12.7503486 122.7312101
"AFF Suzuki Cup" 	1.3099506 103.86034576871684
"AFF Suzuki Cup" 	14.8971921 100.83273
"ARSD Roller Derby" 	37.7790262 -122.4199061
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5129784 -95.102181526444
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5074538 -95.0949303
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	34.2164099 -119.0376573
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	34.2164099 -119.0376573
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5129784 -95.102181526444
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	34.2164099 -119.0376573
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5633199 -95.019723
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5074538 -95.0949303
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.5074538 -95.0949303
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.5074538 -95.0949303
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5129784 -95.102181526444
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5074538 -95.0949303
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5074538 -95.0949303
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5129784 -95.102181526444
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.5376944 -95.1220967
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5129784 -95.102181526444
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	34.2164099 -119.0376573
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	34.2164099 -119.0376573
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	34.2164099 -119.0376573
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5376944 -95.1220967
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5074538 -95.0949303
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.5446753 -95.0910413
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"ATSN: Stop the Threat" 	29.7589382 -95.3676974
"AXS Live" 	39.7837304 -100.4458825
"AXS Live" 	39.7837304 -100.4458825
"Abbey Road Acoustic Sessions with Absolute Radio" 	51.53198795 -0.17822595150661952
"Abby & Brittany" 	44.9772995 -93.2654692
"Abby & Brittany" 	45.4371908 12.3345898
"Abby & Brittany" 	45.0628999 -93.2060969
"Abby & Brittany" 	45.0628999 -93.2060969
"Abigail" 	33.7490987 -84.3901849
"Abismo de pasi�n" 	19.4326296 -99.1331785
"Abismo de pasi�n" 	19.4326296 -99.1331785
"Abismo de pasi�n" 	19.4326296 -99.1331785
"Abismo de pasi�n" 	19.4326296 -99.1331785
"Abismo de pasi�n" 	19.4326296 -99.1331785
"Absolute X" 	21.2160437 -157.975203
"Absolute X" 	37.7790262 -122.4199061
"Absolute X" 	22.8938884 -109.9200604
"Absolute X" 	29.383643 -98.377856
"Absolute X" 	34.4221319 -119.7026673
"Absolute X" 	25.7742658 -80.1936589
"Absolute X" 	29.9499323 -90.0701156
"Absolute X" 	33.7490987 -84.3901849
"Absolute X" 	32.7174209 -117.1627714
"Absolute X" 	34.0536909 -118.2427666
"Acceso Exclusivo: Pumas" 	19.320556250000003 -99.15170107077653
"Acceso Exclusivo: Pumas" 	22.1866984 -101.0143645
"Acceso Exclusivo: Pumas" 	32.7174209 -117.1627714
"Access Sportsnet: Los Angeles" 	33.917028 -118.4156337
"Access: Middle East" 	25.0657 55.1713
"Access: Middle East" 	38.9597594 34.9249653
"Access: Middle East" 	30.048819 31.243666
"Access: Middle East" 	-33.928992 18.417396
"Achter gesloten deuren" 	52.3727598 4.8936041
"Achter gesloten deuren" 	52.3885317 4.6388048
"Achter gesloten deuren" 	52.4036594 4.6197687
"Across the Board with Joy Bryant" 	34.0536909 -118.2427666
"Acting Out" 	34.0536909 -118.2427666
"Actua" 	41.5064041 2.3913883
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	45.4972159 -73.6103642
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	45.4972159 -73.6103642
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	45.553189 -73.638793
"Adam & �ve" 	45.580978 -73.5648764
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Adam & �ve" 	61.0666922 -107.9917071
"Add a Friend" 	48.1371079 11.5753822
"Admissions" 	42.6982304 -73.96544238429227
"Admissions" 	42.8605503 -73.93202255
"Admissions" 	42.7236508 -73.9363328
"Admissions" 	42.7236508 -73.9363328
"Admissions" 	42.7178558 -73.8334554
"Adrianne Curry\'s Super Fans" 	34.0536909 -118.2427666
"Adrianne Curry\'s Super Fans" 	41.5263603 -88.0840212
"Adrianne Curry\'s Super Fans" 	41.6012796 -85.8590603
"Adventures of JAB" 	34.0536909 -118.2427666
"Adventures of JAB" 	34.0923014 -118.3692894
"Adventures of JAB" 	33.8246269 -116.540303
"Adventures of Red Rooster" 	40.7127281 -74.0060152
"Adventures of Red Rooster" 	40.7127281 -74.0060152
"Adventures of Red Rooster" 	40.7127281 -74.0060152
"Adventures of Red Rooster" 	40.7127281 -74.0060152
"Adventures of Red Rooster" 	40.7127281 -74.0060152
"Adventures of Red Rooster" 	40.7127281 -74.0060152
"Adventurous Detectivous" 	43.597646 -84.7668495
"Age Matters" 	-34.9281805 138.5999312
"Agony" 	-37.8142176 144.9631608
"Aimless" 	34.0536909 -118.2427666
"Ain\'t It Cool with Harry Knowles" 	30.2711286 -97.7436995
"Ainsi soient-ils" 	48.8566969 2.3514616
"Ainsi soient-ils" 	46.603354 1.8883335
"Ainsi soient-ils" 	48.8566969 2.3514616
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
"Airport 24/7: Miami" 	25.7949789 -80.28672341095405
